序号,股票代码,股票名称,最新价,涨跌幅,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,300502,新易盛,,,变动详情股吧行情,10.77%,17.38,2207.61,2025年2季度
2,300476,胜宏科技,,,变动详情股吧行情,10.05%,15.34,2061.39,2025年2季度
3,2463,沪电股份,,,变动详情股吧行情,9.65%,46.45,1977.84,2025年2季度
4,603129,春风动力,,,变动详情股吧行情,6.31%,5.98,1294.67,2025年2季度
5,688362,甬矽电子,,,变动详情股吧行情,6.19%,42.61,1268.9,2025年2季度
6,301061,匠心家居,,,变动详情股吧行情,5.42%,14.33,1110.81,2025年2季度
7,300408,三环集团,,,变动详情股吧行情,5.29%,32.48,1084.83,2025年2季度
8,688372,伟测科技,,,变动详情股吧行情,5.15%,17.49,1056.57,2025年2季度
9,603979,金诚信,,,变动详情股吧行情,4.93%,21.78,1011.46,2025年2季度
10,603477,巨星农牧,,,变动详情股吧行情,4.47%,44.54,916.68,2025年2季度
1,603477,巨星农牧,,,股吧行情,9.99%,159.08,3081.43,2025年1季度
2,300972,万辰集团,,,股吧行情,9.73%,33.3,3001.33,2025年1季度
3,2127,南极电商,,,股吧行情,8.78%,694.08,2706.91,2025年1季度
4,300394,天孚通信,,,股吧行情,8.38%,30.52,2582.6,2025年1季度
5,2463,沪电股份,,,股吧行情,7.14%,67.1,2200.88,2025年1季度
6,688183,生益电子,,,股吧行情,6.51%,67.87,2006.36,2025年1季度
7,300502,新易盛,,,股吧行情,6.29%,19.77,1939.83,2025年1季度
8,688800,瑞可达,,,股吧行情,5.66%,35.41,1743.82,2025年1季度
9,688676,金盘科技,,,股吧行情,5.62%,43.62,1733.52,2025年1季度
10,301061,匠心家居,,,股吧行情,4.60%,18.18,1417.29,2025年1季度
