序号,股票代码,股票名称,相关资讯,占净值 比例,持股数 （万股）,持仓市值 （万元）,季度
1,9992,泡泡玛特,股吧行情,9.33%,25.82,2143.56,2024年4季度
2,6181,老铺黄金,股吧行情,6.14%,6.31,1409.41,2024年4季度
3,1308,康冠科技,股吧行情,5.59%,46.67,1283.43,2024年4季度
4,300593,新雷能,股吧行情,4.97%,102.0,1142.4,2024年4季度
5,300179,四方达,股吧行情,4.84%,98.74,1110.83,2024年4季度
6,603275,众辰科技,股吧行情,4.80%,32.36,1101.53,2024年4季度
7,489,东风集团股份,股吧行情,4.68%,312.0,1074.8,2024年4季度
8,688636,智明达,股吧行情,4.68%,38.25,1074.73,2024年4季度
9,600415,小商品城,股吧行情,4.52%,77.43,1038.34,2024年4季度
10,301071,力量钻石,股吧行情,4.42%,28.01,1015.51,2024年4季度
1,688577,浙海德曼,股吧行情,7.98%,61.06,2341.67,2024年3季度
2,9992,泡泡玛特,股吧行情,7.04%,43.04,2066.79,2024年3季度
3,601156,东航物流,股吧行情,6.90%,109.56,2024.67,2024年3季度
4,300395,菲利华,股吧行情,6.67%,45.63,1958.9,2024年3季度
5,605589,圣泉集团,股吧行情,6.07%,83.49,1781.68,2024年3季度
6,300593,新雷能,股吧行情,5.73%,139.67,1683.02,2024年3季度
7,603283,赛腾股份,股吧行情,5.23%,21.61,1534.31,2024年3季度
8,300502,新易盛,股吧行情,4.97%,11.23,1459.56,2024年3季度
9,603661,恒林股份,股吧行情,4.47%,35.26,1311.67,2024年3季度
10,2384,东山精密,股吧行情,3.77%,47.05,1107.56,2024年3季度
1,688577,浙海德曼,股吧行情,7.68%,61.06,2437.54,2024年2季度
2,605589,圣泉集团,股吧行情,7.17%,112.11,2274.71,2024年2季度
3,601156,东航物流,股吧行情,7.03%,109.56,2229.55,2024年2季度
4,300502,新易盛,股吧行情,6.70%,20.13,2124.72,2024年2季度
5,601138,工业富联,股吧行情,6.04%,69.98,1917.45,2024年2季度
6,603283,赛腾股份,股吧行情,5.20%,21.61,1651.0,2024年2季度
7,9992,泡泡玛特,股吧行情,4.74%,43.04,1502.53,2024年2季度
8,603661,恒林股份,股吧行情,4.69%,35.26,1488.32,2024年2季度
9,300395,菲利华,股吧行情,4.42%,45.63,1403.12,2024年2季度
10,300593,新雷能,股吧行情,4.38%,139.67,1388.32,2024年2季度
1,688577,浙海德曼,股吧行情,8.03%,43.61,2970.16,2024年1季度
2,300809,华辰装备,股吧行情,6.45%,97.16,2386.25,2024年1季度
3,605589,圣泉集团,股吧行情,5.74%,112.11,2121.12,2024年1季度
4,835438,戈碧迦,股吧行情,5.28%,66.69,1953.4,2024年1季度
5,300502,新易盛,股吧行情,5.21%,28.76,1926.92,2024年1季度
6,601156,东航物流,股吧行情,5.09%,109.56,1883.34,2024年1季度
7,688590,新致软件,股吧行情,4.92%,101.01,1818.23,2024年1季度
8,603667,五洲新春,股吧行情,4.70%,93.94,1738.83,2024年1季度
9,603920,世运电路,股吧行情,4.66%,91.75,1722.15,2024年1季度
10,603322,超讯通信,股吧行情,4.58%,51.77,1694.43,2024年1季度
